#code,name,english
aa,Qafár af,Afar
ab,Аҧсшәа,Abkhazian
ace,Acèh,Achinese
af,Afrikaans,Afrikaans
ak,Akan,Akan
als,Alemannisch,Alemannisch
am,አማርኛ,Amharic
an,aragonés,Aragonese
ang,Ænglisc,Old English
ar,العربية,Arabic
arc,ܐܪܡܝܐ|Aramaic,Aramaic
arz,مصرى,Egyptian Spoken Arabic
as,অসমীয়া,Assamese
ast,asturianu,Asturian
av,авар,Avaric
ay,Aymar aru,Aymara
az,azərbaycanca,Azerbaijani
ba,башҡортса,Bashkir
bar,Boarisch,Bavarian
bat-smg,žemaitėška,žemaitėška
bcl,Bikol Central,Bikol Central
be,беларуская,Belarusian
be-x-old,‪беларуская|тарашкевіца,‪беларуская (тарашкевіца)‬
bg,български,Bulgarian
bh,भोजपुरी,Bihari
bi,Bislama,Bislama
bjn,Bahasa Banjar,Banjar
bm,bamanankan,Bambara
bn,বাংলা,Bengali
bo,བོད་ཡིག|Tibetan,Tibetan
bpy,বিষ্ণুপ্রিয়া মণিপুরী,Bishnupria Manipuri
br,brezhoneg,Breton
bs,bosanski,Bosnian
bug,ᨅᨔ ᨕᨘᨁᨗ|Buginese,Buginese
bxr,буряад,буряад
ca,català,Catalan
cbk-zam,Chavacano de Zamboanga,Chavacano de Zamboanga
cdo,Mìng-dĕ̤ng-ngṳ̄,Min Dong Chinese
ce,нохчийн,Chechen
ceb,Cebuano,Cebuano
ch,Chamoru,Chamorro
cho,Choctaw,Choctaw
chr,ᏣᎳᎩ|Cherokee,Cherokee
chy,Tsetsêhestâhese,Cheyenne
ckb,کوردی,Sorani Kurdish
co,corsu,Corsican
cr,Nēhiyawēwin|ᓀᐦᐃᔭᐍᐏᐣ,Cree
crh,qırımtatarca,Crimean Turkish
cs,česky,Czech
csb,kaszëbsczi,Kashubian
cu,словѣ́ньскъ |ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,Church Slavic
cv,Чӑвашла,Chuvash
cy,Cymraeg,Welsh
cz,
da,dansk,Danish
de,Deutsch,German
diq,Zazaki,Zazaki
dk,
dsb,dolnoserbski,Lower Sorbian
dv,ދިވެހިބަސް|Divehi,Divehi
dz,ཇོང་ཁ|Dzongkha,Dzongkha
ee,eʋegbe,Ewe
el,Ελληνικά,Greek
eml,emiliàn e rumagnòl,Emiliano-Romagnolo
en,English,English
eo,Esperanto,Esperanto
epo,
es,español,Spanish
et,eesti,Estonian
eu,euskara,Basque
ext,estremeñu,Extremaduran
fa,فارسی,Persian
ff,Fulfulde,Fulah
fi,suomi,Finnish
fiu-vro,Võro,Võro
fj,Na Vosa Vakaviti,Fijian
fo,føroyskt,Faroese
fr,français,French
frp,arpetan,Franco-Provençal
frr,Nordfriisk,Northern Frisian
fur,furlan,Friulian
fy,Frysk,Western Frisian
ga,Gaeilge,Irish
gag,Gagauz,Gagauz
gan,贛語,Gan
gd,Gàidhlig,Scottish Gaelic
gl,galego,Galician
